Veliyanad,Vazhakkulam,Upputhara,Kuttiattor,Thrikkaripur,Veliyam,"Poonjar,Thekkekara",Kuthali,Urungattiri,Sreekrishnapuram,Konni,Anad,Engandiyur,
Neelamperoor,Kizhakkambalam,Vandenmed,Mayyil,Valiyaparamba,Pooyappally,Thalappalam,Perambra,Kavannur,Vellinezhi,Aruvapulam,Aruvikkara,Vadanappally,
Kavalam,Choornikkara,Kanchiyar,Padiyurkalliad,Padne,Kareepra,Teekoy,Chakkittapara,Kizhuparambu,Karakurissi,Pramadom,Panavoor,Thalikulam,
Pulinkunnu,Edathala,Erattayar,Ulickal,,Ezhukone,Thalanad,Balussery,Pulpatta,Alanallur,Mylapra,Karakulam,Nattika,
Ramankari,Keezhmad,Ayyappancoil,Chirakkal,,Neduvathur,Thidanad,Naduvannur,Chekkode,Karimba,Vallicode,Vembayam,Valappad,
Mulakuzha,Kadamakudy,Chakkupallam,Valapattanam,,Perinad,Akalakunnam,Ulliyeri,Kuzhimanna,Kottoppadam,Thannithode,Andoorkonam,Anthicad,
Venmony,Cheranallur,Muttom,Azhikode,,Kundara,Elikulam,Kottur,Areekode,Kumaramputhur,Malayalapuzha,Kadinamkulam,Thanniyam,
Cheriyanad,Mulavucaud,Kumaramangalam,Pappinisseri,,Kizhakkekallada,Kooroppada,Unnikulam,Edavanna,Kanjirappuzha,Pandalam,Mangalapuram,Chazhoor,
Ala,Elamkunnapuzha,Edavetty,Kadamboor,,Perayam,Pampady,Panangad,Anakkayam,Thachanattukara,Thumpamon,Pothencode,Manallur,
Puliyoor,Njarakkal,Karimkunnam,Chembilode,,Mundrothuruthu,Pallikkathode,Koorachundu,Morayur,Tachampara,Aranmula,Azhoor,Arimpoor,
Budhannoor,Nayarambalam,Manakkad,Munderi,,Panayam,Meenadom,Chemanchery,Ponmala,Thenkara,Mezhuveli,Balaramapuram,Avinissery,
Pandanad,Edavanakkad,Purapuzha,Peralasseri,,Thrikkaruva,Kidangoor,Arikkulam,Pookkottur,Agali,Kulanada,Pallichal,Cherpu,
Thiruvanvandur,Pallippuram,Peruvanthanam,Kolacherry,,Thekkumbhagam,Manarkkad,Moodadi,Kodoor,Pudur,Enadimangalam,Maranalloor,Paralam,
Karthigappally,Kuzhuppilly,Kumily,Dharmadom,,Chavara,Ayarkkunnam,Chengottukavu,Othukkungal,Sholayar,Erathu,Malayinkeezh,Vallachira,
Thrikkunnapuzha,Chellanam,Kokkayar,Eranjoli,,Thevalakkara,Puthuppally,Atholi,Aliparambu,Keralassery,Ezhamkulam,Vilappil,Alagappa,
Kumarapuram,Kumbalangy,Peerumedu,Pinarayi,,Panmana,Panachikkad,Kakkodi,Elamkulam,Kongad,Kadampanadu,Vilavoorkkal,Kodakara,
Karuvatta,Kumbalam,Elappara,New,,Neendakara,Vijayapuram,Chelannur,Melattur,Mankara,Kalanjoor,Kalliyoor,Mattathur,
Pallippad,Udayamperur,Vandiperiyar,Muzhappilangad,,Mayyanad,Kurichy,Kakkur,Keezhattur,Mannur,Kodumon,Perumkadavila,Nenmanikkara,
Cheruthana,Mulamthuruthy,,Ancharakandy,,Thrikkovilvattom,Madappally,Nanmanda,Thazhekode,Mundur,Anicadu,Kollayil,Pudukkad,
Veeyapuram,Chottanikkara,,Vengad,,Kottamkara,Paippad,Narikkuni,Vettathur,Parali,Pallickal,Ottasekharamangalam,Trikkur,
"Mavelikkara,Thekkekara",Edakkattuvayal,,Kadirur,,Elambalur,Thrikkodithanam,Thalakkulathur,Pulamanthole,Pirayiri,,Aryancode,Varandarappilly,
Chettikulangara,Amballur,,Chokli,,Nedumpana,Vakathanam,Thiruvambadi,Angadipuram,Kottai,,Kallikkadu,Karalam,
"Chennithala,Thripperumthura",Maneed,,Mokeri,,Poothakkulam,Vazhappally,Koodaranji,Kuruva,Kuthanoor,,Kunnathukal,Kattur,
Thazhakara,Puthrukka,,Panniyannur,,Kalluvathukkal,Chirakkadavu,Kizhakkoth,Mankada,Kuzhalmannam,,Vellarada,Muriyad,
Mannar,Thiruvaniyoor,,Trippangottur,,Chathannur,Kangazha,Madavoor,Makkaraparamba,Mathur,,Amboori,Parappukkara,
Nooranad,"Vadavucode,Puthen,Cruz",,Chittariparamba,,Adichanalloor,Nedumkunnam,Puduppady,Moorkkanad,Peringottukurissi,,Athiyannoor,Padiyur,
Vallikunnam,Mazhuvannoor,,Kunnathuparamba,,Chirakkara,Vellavoor,Thamarassery,Koottilangadi,Thenkurissy,,Kanjiramkulam,Poomangalam,
Bharanikavu,Aikaranad,,Mangattidom,,Chithara,Vazhoor,Omassery,Puzhakkattiri,Kannadi,,Karumkulam,Puthenchira,
"Mavelikkara,Thamarakulam",Kunnathunad,,Pattiom,,Kadakkal,Karukachal,Kattippara,Athavanad,Eruthempathy,,Kottukal,Vellangallur,
Chunakkara,Paingottur,,Kottayam,,Chadayamangalam,Erumeli,Kodenchery,Edayoor,Kozhinjampara,,Venganoor,Vellookkara,
Palamel,Nellikuzhi,,Aralam,,Ittiva,Kanjirappally,Kodiyathur,Irimbilayam,Nalleppilly,,Chenkal,Edathiruthy,
Pathiyoor,Pindimana,,Ayyamkunnu,,Velinallur,Kootickal,Kuruvattur,Marakkara,Perumatty,,Karode,Kaipamangalam,
Kandalloor,Kottappady,,Keezhalloor,,Elamadu,Manimala,Mavoor,Kuttippuram,Vadakarapathy,,Kulathoor,Mathilakam,
Cheppad,Kavalangad,,Thilankeri,,Nilamel,Mundakayam,Karassery,Kalpakancheri,Elappully,,Parassala,Perinjanam,
Muthukulam,Varappetty,,Koodali,,Kummil,,Kunnamangalam,Abdul Rahman Nagar,Polpully,,Thirupuram, Sree Narayanapuram,
Arattupuzha,Keerampara,,Payam,,,,Chathamangalam,Edarikode,Kollenkode,,Poovar,Edavilangu,
Krishnapuram,Pothanikkad,,Kanichar,,,,Peruvayal,Parappur,Koduvayur,,Varkala  Municipality,Eriyad,
Devikulangara,Pallarimangalam,,Kelakom,,,,Perumanna,Thennala,Muthalamada,,Attingal Municipality,Alur,
Chingoli,Kuttampuzha,,Kottiyoor,,,,Kadalundi,Vengara,Puthunagaram,,Nedumangad Municipality,Annamanada,
Thalayazham,Elanji,,Muzhakkunnu,,,,Olavanna,Kannamangalam,Vadavannur,,Neyyattinkara Municipality,Kuzhur,
Chempu,Thirumarady,,Kolayad,,,,,Urakam,Pattenchery,,,Mala,
Maravanthuruthu,Palakuzha,,Malur,,,,,Thenhippalam,Peruvembu,,,Poyya,
,Pampakuda,,Peravoor,,,,,Vallikkunnu,Ayiloor,,,Kadukutty,
,Ramamangalam,,,,,,,Moonniyur,Nelliampathy,,,Kodassery,
,Puthenvelikara,,,,,,,Nannambra,Elavenchery,,,Koratty,
,Chengamanad,,,,,,,Peruvalloor,Pallassana,,,Melur,
,Nedumbassery,,,,,,,Cheriyamundam,Melarcode,,,Pariyaram,
,Parakkadavu,,,,,,,Ozhur,Nenmara,,,Athirappally,
,Kunnukara,,,,,,,Tanalur,Vandazhy,,,Anakkara,
,Sreemoolanagaram,,,,,,,Valavannur,Alathur,,,,
,Avoly,,,,,,,Ponmundam,Erimayur,,,,
,Arakuzha,,,,,,,Niramaruthur,Kavassery,,,,
,Valakom,,,,,,,Perumannaclari,Kizhakkenchery,,,,
,Paipra,,,,,,,Purathur,Puducode,,,,
,Kalloorkkad,,,,,,,Thalakkad,Tarur,,,,
,Ayavana,,,,,,,Triprangode,Vadakkanchery,,,,
,Manjalloor,,,,,,,Vettom,Kannambra,,,,
,Marady,,,,,,,Thirunavaya,Akathethara,,,,
,,,,,,,,Mangalam,Malampuzha,,,,
,,,,,,,,Tavanur,Marutharoad,,,,
,,,,,,,,Vattamkulam,Puduppariyaram,,,,
,,,,,,,,Edappal,Pudussery,,,,
,,,,,,,,Kalady,Kodumbu,,,,
,,,,,,,,Alamcode,,,,,
,,,,,,,,Marancheri,,,,,
,,,,,,,,Nannamukku,,,,,
,,,,,,,,Perumpadappa,,,,,
,,,,,,,,Veliyancode,,,,,
